location,address,price,title,facilities,description_text,ad_url,id,num,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,tomt,bruttoareal,boligselgerforsikring,formuesverdi,rom,tomteareal,fellesformue,festeavgift,kommunale_avg,renovert_ar,sikringsordning,grunnflate,solgtpris,utleiedel,new_building
Grünerløkka/ vendt mot rolig indre gård.,"Toftes gate 47C, 0552 Oslo",3100000,"Perfekt førstegangskjøp i hjertet av Grünerløkka - Generøs takhøyde - Nye vinduer fra 2017 - V.v, TV og internett inkl.","Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Sentralt"," Søn. 7. mars 13:00 - 14:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding Sjarmerende 2-roms andelsleilighet vendt mot indre gård. Her bor du sentralt med vakre Sofienbergparken rett over gata. Dette er en leilighet for urbane livsnytere som vil ha kort vei til kulturopplevelser, levende bymiljø og nærhet til alt man har behov for i hverdagen. Lange sommerdager kan nytes i den idylliske bakgården med flere sittegrupper. Verdt å merke seg:- Generøs takhøyde på ca. 2,80 m.- Ingen forkjøpsrett!- Nye vinduer (2017) med dype karmer.- Varmtvann, TV- og internett (fiber) inkl. - Mulighet for hjemmekontor på soverom!- Bad fra 2012, og HTH-kjøkken fra 2010. - Leiligheten er vendt i sin helhet inn mot rolig indre gård.- Høy første etasje!- Kjellerbod for ekstra lagringsplass. - Midt på løkka! Johanna Wenngren Eiendomsmegler Mobil 465 45 247 Send melding Søn. 7. mars 13:00 - 14:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209159344,209159344,NA,200651,1132,3301783,2993,Leilighet,Andel,1,32,32,1,1890,G-rød,NA,37,NA,663816,1,796,10439,NA,NA,2010,NA,NA,NA,NA,FALSE
Grünerløkka v/Birkelunden,"Seilduksgata 14, 0553 Oslo",4790000,"Vakker, lys og påkostet 3-roms m/klassiske særpreg | Kjøkken 2019 og bad 2012 | Ildsted | Prima beliggenhet!","Peis/Ildsted, Barnevennlig, Rolig, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning"," Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til en nydelig og klassisk 3-roms i Seilduksgata 14. Et ypperlig objekt med gjennomført og påkostet standard, kombinert med originale detaljer fra byggetiden. Leiligheten har en utmerket beliggenhet i en av Grünerløkkas mest etterspurte gater. Her bor du sentralt og urbant med ""alt"" rett utenfor døren.Høydepunkter:Vakker og påkostet 3-roms med prima beliggenhetNytt Ikea-kjøkken fra 2019Romslig bad fra 2012God og effektiv planløsningStore vindusflater Flott vedovn i stue m/ teglstensveggTakhøyde på over 3mKlassiske detaljer i himlingLoftsbod på 12 kvm.Populær og attraktiv beliggenhet i SeilduksgataYrende liv i ett av byens mest ettertraktede områderUmiddelbar nærhet til offentlig kommunikasjonPerfekt for unge par, enslige og eldreIngen forkjøpsrettIngen dokumentavgift ved kjøp Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209222208,209222208,NA,207900,8032,5005932,4307,Leilighet,Andel,2,54,54,2,1887,F-oransje,NA,60,Ja,1001970,NA,225,34038,NA,NA,NA,NA,NA,NA,NA,FALSE
TÅSEN - LEKKER 3(4)-ROMS I BLINDVEI,"Rektorhaugen 33, 0876 Oslo",6000000,Lys 3(4)R - Balkong (sol kl 13-21) m/ trapp til felles hage - Oppvarming/vv inkl i f.utg - Nær v/ t-bane og Tåsen skole,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Kabel-TV, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Lør. 6. mars 12:00 - 12:30 + Legg til i kalender Lør. 6. mars 12:30 - 13:00 + Legg til i kalender Visningsrunde 2 avholdes den 6/3 og 7/3. Det er forkjøpsrett for statsansatte. Ta kontakt med megler Melinda Vora m 47486020 for å avtale din visningstid. Sammen skal vi sikre trygge visninger - husk munnbind! Husk også å lese salgsoppgave før visning. Visningspåmelding Lys, flott oppusset 3-roms med vestvendt balkong og utgang til felles hage med lekeapparater. Det er svært god plass mellom blokkene. Balkongen har svært gode solforhold (ca kl 13-21). De nye, utvidede balkongene er i ferd med å ferdigstilles nå.Boligen er pent pusset opp og har god planløsning. Mange tilsvarende leil. har blitt ombygget til 4R, se alternativ planskisse.Badet ble renoverte i regi av borettslaget i 2006.Fellesutgifter inkl. oppvarming, varmtvann, kabel-tv/nett, trappevask, renter og avdrag f.gjeld (det er tatt høyde for balkongutbyggingen) mm. Lave strømutgifter.Veldrevet borettslag m/god rehabiliteringshistorikk. Kort og fin skolevei til Tåsen barneskole, 3 min til T-bane/buss/flybuss, dagligvare og Damefallet som leder til marka!Forkjøpsrett for statsansatte. Lør. 6. mars 12:00 - 12:30 + Legg til i kalender Lør. 6. mars 12:30 - 13:00 + Legg til i kalender Visningsrunde 2 avholdes den 6/3 og 7/3. Det er forkjøpsrett for statsansatte. Ta kontakt med megler Melinda Vora m 47486020 for å avtale din visningstid. Sammen skal vi sikre trygge visninger - husk munnbind! Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209137504,209137504,NA,312000,1132,6313132,4462,Leilighet,Andel,2,66,66,1,1959,F-mørkegrønn,NA,73,NA,1244302,3,16985,10636,NA,NA,NA,NA,NA,NA,NA,FALSE
Indre gårdsrom på Bolteløkka/Bislett,"Thereses gate 24C, 0168 Oslo",5500000,"Nyoppusset (2021) 3R med 2,9 meter takhøyde og HTH-kjøkken - Mulighet for å bygge balkong* - Peis - Tre boder","Balkong/Terrasse, Peis/Ildsted, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 7. mars 1400 - 1500 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding EIE Eiendomsmegling Wekre & Partnere ved Edvard Ingebrigtsen har gleden av å presentere Thereses gate 24C.Velkommmen til en nyoppusset leilighet beliggende stille og rolig i indre gårdsrom på Bolteløkka/Bislett. Leiligheten ligger i 3. etasje og er nyoppusset i 2021.Kort fortalt:Lekkert, nytt HTH-kjøkken med integrerte hvitevarer.Ny en-stavs parkett i samtlige rom utenom bad.Nye varmekabler, membran og gulvfliser i 2019.Alle elektriske ledninger er trukket nytt i 2021.Leiligheten disponerer tre boder på hhv 12 m2, 7 m2 og 2,3 m2.*Dette er en av to leiligheter uten balkong i indre gårdsrom. Balkongteam som var ansvarlig søker da balkongprosjektet ble gjennomført på de andre leilighetene, anser det som svært sannsynlig å få igjennom, dog må dette søkes om. Kontakt megler for mer informasjon. Søn. 7. mars 1400 - 1500 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209218257,209218257,NA,231078,8010,5739088,4188,Leilighet,Andel,2,60,60,3,1891,G-rød,NA,67,NA,1318220,3,549,6676,NA,NA,NA,NA,NA,NA,NA,FALSE
BESTE RØDTVET,"Kristian Bogneruds vei 13, 0956 Oslo",8000000,Praktisk enebolig bygget som tomannsbolig | Barnevennlig | Stor tomt | Antatt mulighet for utbygging,"Balkong/Terrasse, Barnevennlig, Hage, Husdyr, tillatt, Offentlig, vann/kloakk, Peis/Ildsted, Rolig, Sentralt, Utsikt, Utvidelsesmuligheter, Bademulighet, Turterreng"," Man. 8. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding DNB Eiendom v/ Niklas Linné Elshøy presenterer her en enebolig bygget som tomannsbolig! Boligen ligger fint til på beste Rødtvet og har en fin beliggenhet med gode lys og solforhold. Dette er en praktisk enebolig bygget som en horisontaldelt tomannsbolig, beliggende i et veletablert boligområde på Rødtvet/Kalbakken med svært gode kommunikasjonsforbindelser til resten av Oslo. Boligen går over to etasjer(+ kjeller og loft) med felles inngangsparti, med en tilnærmet identisk planløsning. fra Boligen kan i dag sees på som et oppussingsobjekt, så her har du mulighet for å skape ditt eget drømmehjem! * Balkong* Enebolig* Barnevennlig* Stor tomt* Kjeller og loft* Peis* Fantastiske solforhold* Nærhet til skole, marka og badeplasser* Kollektiv i umiddelbar nærhet Niklas Linné Elshøy Eiendomsmeglerfullmektig Mobil 414 81 589 Send melding Man. 8. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208346885,208346885,NA,NA,201342,8201342,NA,Enebolig,Eier(Selveier),2,180,243,2,1933,G-oransje,NA,264,NA,1174985,6,1144,NA,NA,9207,NA,NA,NA,NA,NA,FALSE
Sjølyst,"Messepromenaden 11, 0279 Oslo",12800000,Eksklusiv 3-roms i 5. etasje med høy standard - Nydelig sjøutsikt - Heis - 2 garasjeplasser - 2 balkonger - Gasspeis,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," TILTAK VEDR. COVID-19 VIRUS: Dersom du planlegger å delta på annonsert visning skal det gis beskjed i forkant til eiendomsmegler. Dette for å sørge for en trygg gjennomføring. Vi tilbyr også privatvisninger for de som ønsker det. Kontakt megler - Christian L Mathiesen: 99 45 84 53 Visningspåmelding Velkommen til Messepromenaden 11. En lekker, gjennomgående og påkostet 3-roms i 5. etg med flott utsikt. Leiligheten ble vesentlig oppgradert i 2019 og holder gjennomgående meget høy standard. Gjennomtenkte løsninger og eksklusive materialvalg. Enkel adkomst med heis, og det medfølger 2 garasjeplasser og bod i kjeller. Attraktiv beliggenhet med kort vei til alt av servicetilbud. Høydepunkter:- Sjøutsikt- 2 gode soverom- Gasspeis, ny i 2019- Innebygd høyttaleranlegg- Vesentlig oppgradert i 2019- 2 garasjeplasser med elbillader- Snekkerbygde skap fra Uvdals Snekkerverksted- Begge badene inkl. vaskerommet er totalrenovert 2019- Nordvestvendt balkong på ca. 10 kvm og Sørøstvendt på ca. 8 kvm- Lekkert kjøkken fra Sigdal med Corian benkeplate og hvitevarer fra Miele TILTAK VEDR. COVID-19 VIRUS: Dersom du planlegger å delta på annonsert visning skal det gis beskjed i forkant til eiendomsmegler. Dette for å sørge for en trygg gjennomføring. Vi tilbyr også privatvisninger for de som ønsker det. Kontakt megler - Christian L Mathiesen: 99 45 84 53 Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209001028,209001028,NA,NA,329642,13129642,5094,Leilighet,Eier(Selveier),2,92,92,5,2005,C-mørkegrønn,NA,100,NA,1769047,3,744,41190,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Waldemars hage 4, 0172 Oslo",6490000,"Originale Waldemars Hage - Lekker 3-roms m/solrik balkong, heis samt v.vann og fyring inkl - Rolig, men sentralt","Balkong/Terrasse, Parkett, Heis, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Søn. 7. mars 1330 - 1430 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Lys og lekker 3-roms selveier med særdeles attraktiv beliggenhet på Alexander Kiellands plass i originale Waldemars Hage. Moderne leilighet med gode lysforhold og solrik balkong. Delikat flislagt bad med opplegg for vaskemaskin og tørketrommel, lekker stue med åpen kjøkkenløsning samt to soverom. Kort fortaltHeisVV/fyring inkl.BalkongBod på ca. 6 kvm i kjellerLys parkett på gulvStue/kjøkken i åpen løsningBalansert ventilasjonAltiboxFelles takterrasse med heisadkomstTidvis mulighet for kjøp og leie av garasjeplass Søn. 7. mars 1330 - 1430 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209214066,209214066,NA,13433,174140,6677573,3428,Leilighet,Eier(Selveier),NA,62,62,3,2005,C-mørkegrønn,NA,69,Ja,1219575,NA,6789,47292,NA,NA,NA,NA,NA,NA,NA,FALSE
Rosenhoff / Carl Berner,"Sinsenveien 3B, 0568 Oslo",7950000,"Attraktiv og gj.gående 4-roms fra 2018 m/sydvestvendt balkong, 3 soverom, 2 bad, garasjeplass, heis og fl.takterrasse","Balkong/Terrasse, Parkett, Heis, Barnevennlig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Aircondition, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 7. mars 1200 - 1300 + Legg til i kalender Man. 8. mars 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Sinsenveien 3 B, en meget attraktiv og moderne 4-roms andelsleilighet med ""alt"" av fasiliteter. Leiligheten ligger i byggets 5.etasje og byr på god planløsning, store vinduer og en gjennomgående høy standard.5. etg. med heis opp:Entré med garderobeløsninger, kjøkken og stue i åpen løsning med utgang til sydvestvendt balkong. 1 innvendig bod / omkledningsrom. Videre følger bad og 2 soverom. Avslutningsvis hovedsoverom med direkte tilgang til eget bad. Kort fortalt:- Stor stue m/åpen kjøkkenløsning - Solrik, sydvestvendt balkong på ca 7,7 kvm- To bad - Tre soverom- Vannbåren gulvvarme- Fjernvarme, varmtvann og fibernett (1000/1000mbps) inkl.- Balansert ventilasjon- Garasjeplass- Utbyggergaranti- Felles takterrasse- Lave omkostninger - ingen forkjøpsrett Søn. 7. mars 1200 - 1300 + Legg til i kalender Man. 8. mars 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209212781,209212781,NA,NA,16344,7966344,4041,Leilighet,Andel,3,90,90,5,2018,C-mørkegrønn,NA,99,Ja,1657495,NA,3732,24510,NA,NA,NA,NA,NA,NA,NA,FALSE
"SENTRALT, MEN ROLIG PÅ BISLETT","Thereses gate 15B, 0358 Oslo",6150000,"Gjennomgående 3-roms selveierleilighet med klassiske detaljer, peis og balkong - Takhøyde på 3 M. - Bad fra 2020","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Vaktmester-/vektertjeneste, Bademulighet, Turterreng"," Ta kontakt for å avtale visning Visningspåmelding Kort oppsummert: - Leilighet med mye sjel og sjarm- Noe moderniseringsbehov- Gjennomgående og svært god planløsning- Balkong på ca. 3 kvm.- Klassiske detaljer med rosett og stukkatur- Originale detaljer med tregulv og tredører- Takhøyde er oppmålt til ca 3 M i stue- Store vindusflater- Peis i stuen gir god varme- Flislagt bad fra 2020- Kjøkken fra 2014 med integrerte hvitevarer- Fellesvaskeri og felles bod for beboerne Leiligheten ligger i 3. etg. og inneholder: Entré, kjøkken, to stuer, bad og soverom. I tillegg er det godt med lagringsplass i kjellerbod på 6,7 kvm og loftsbod. Her har du den perfekte leiligheten med attraktiv beliggenhet på Bislett med umiddelbar nærhet til dagligvarebutikker, offentlig kommunikasjon, vinmonopol og flere hyggelige kaféer. Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209181506,209181506,NA,336000,171792,6657792,4522,Leilighet,Eier(Selveier),2,65,65,3,1893,F-oransje,NA,72,NA,1350377,3,368,79624,NA,NA,NA,NA,NA,NA,NA,FALSE
SOFIENBERG-RODELØKKA,"Trondheimsveien 64, 0565 Oslo",3100000,Lys og arealeffektiv 2-roms m/supersentral beliggenhet! Lave felleskostnader. Nærhet til det meste!,"Bredbåndstilknytning, Fellesvaskeri, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Sentralt, Vaktmester-/vektertjeneste","360° visning I Notar ønsker vi trygge visninger og hindre spredning av coronaviruset. Derfor tilbyr vi påmeldingsvisninger. Kontakt megler fortløpende på telefon eller e-post for å eventuelt få tildelt egen tid for visning. Vi tilbyr også privatvisninger utover oppsatt visningstidspunkt. Vi gjør alle nødvendige tiltak for å redusere spredning av coronaviruset, og noe av det viktigste er at vi ikke håndhilser og holder god avstand til våre kunder. Visningspåmelding Velkommen til Trondheimsveien 64 - en spennende og arealeffektiv 2-roms med meget sentral beliggenhet i hjertet av Oslo! Her har du alt du trenger av dagligvarebutikker, koselige spisesteder, flotte turområder og kollektivtilbud i umiddelbar nærhet. Denne leiligheten er perfekt om du skal kjøpe din første bolig, ønsker å leie ut eller trenger en pendlerbolig!Høydepunkter:- Fint beliggende i 2. etasje- Perfekt førstegangskjøp- Selveier, mulighet for utleie- Varmtvann, TV og internett inkl. i felleskostnadene- Hvitevarer medfølger- Kjellerbod- Store vindusflater- Mulighet for kjøp av garasjeplass- Svært sentral beliggenhet med nærhet til ""alt""For en titt innendørs - se den virtuelle visningen. I Notar ønsker vi trygge visninger og hindre spredning av coronaviruset. Derfor tilbyr vi påmeldingsvisninger. Kontakt megler fortløpende på telefon eller e-post for å eventuelt få tildelt egen tid for visning. Vi tilbyr også privatvisninger utover oppsatt visningstidspunkt. Vi gjør alle nødvendige tiltak for å redusere spredning av coronaviruset, og noe av det viktigste er at vi ikke håndhilser og holder god avstand til våre kunder. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209187850,209187850,NA,10888,79122,3190010,2038,Leilighet,Eier(Selveier),1,28,28,2,1966,E-rød,NA,32,NA,632752,NA,1478,2700,NA,NA,NA,NA,NA,NA,NA,FALSE
,"Niels Juels gate 4 B, 0272 Oslo",7700000,"Skillebekk - Sjarmerende og attraktiv 4-roms m/solrik balkong. - 3,1 m takhøyde - Stukkatur/rosett - Peis -Gjennomgående","Balkong/Terrasse, Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Bredbåndstilknytning"," Søn. 7. mars 1615 - 1715 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Niels Juels gate 4 B - en meget attraktiv og gjennomgående selveierleilighet. Leiligheten ligger i byggets 3. etasje og byr på god planløsning, store vinduer og gjennomgående god standard. For den som liker kombinasjon av det klassiske (takhøyde, stukkatur, rosett) og det moderne, så er denne boligen ideell.3.etasje:Entré med oppheng for ytterklær, bad og kjøkken med utgang til sydvendt balkong. Et soverom mot bakgård. Videre følger spisestue med tilgang til hovedsoverom og avslutningsvis en stor og fin stue. Søn. 7. mars 1615 - 1715 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209183063,209183063,NA,164809,208170,8072979,3512,Leilighet,Eier(Selveier),2,85,85,3,1904,G-oransje,NA,95,Ja,1721515,NA,517,11084,NA,NA,NA,NA,NA,NA,NA,FALSE
TOPPEN AV AMMERUD,"Ammerudveien 68, 0958 Oslo",3100000,- Gjennomgående 4-roms leilighet - Sydvestvendt innglasset balkong - Heis - A.kto fjernvarme inkl. - Marka som nabo,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Hage, Heis, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Bademulighet, Turterreng"," Ta kontakt for å avtale visning Visningspåmelding Kort oppsummert: - Svært god planløsning- Sydvestvendt innglasset balkong på ca. 8 kvm.- Store, romslige rom og godt med tilgang på naturlig lys- Tre soverom- Lys og praktisk stue- Flislagt bad og separat toalett fra 2016- Noe moderniseringsbehov- Heis og god lagringsplass (kjellerbod)- Felles sykkelrom og vaskeri - Hyggelig, barnevennlig og veldrevet borettslag- Lave kjøpsutgifter - Ingen dokumentavgift- Bo på toppen av Ammerud - med marka som nærmeste nabo- Lillomarka med fine turstier sommer som vinter og badeplasser Leiligheten ligger i 2. etg, og inneholder entré, stue, kjøkken, bad, toalett og tre soverom. Her bor man i et attraktivt boligområde med kort vei til marka, dagligvarehandel, skole, barnehage og umiddelbar nærhet til offentlig kommunikasjon. Ta kontakt for å avtale visning Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209175850,209175850,NA,419000,15526,3534526,5929,Leilighet,Andel,3,87,95,2,1967,E-lysegrønn,NA,95,NA,991867,4,27802,42308,NA,NA,NA,NA,NA,NA,NA,FALSE
Løren,"Lørenveien 44A, 0585 Oslo",4900000,Beklager solgt! - Visninger avlyst,"Aircondition, Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Felles, resepsjon, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng"," I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding Velkommen til Lørenveien 44A!En særdeles påkostet og romslig 2-romsleilighet sentralt beliggende på Løren. Boligen holder gjennomgående høy standard med flere moderne fasiliteter og løsninger som gjør hverdagen mer behagelig.Høydepunkter:- Nytt og nærmest ubrukt kjøkken fra Luna- Eksklusive hvitevarer- Delikat og moderne, romslig baderom- Balansert ventilasjonsanlegg med eget styringspanel- Lekker en-stavs eikeparkett fra Boen- Oppdatert og oppgradert elektrisk anlegg (Elko Plus)- Eksklusive garderobeløsninger i soverom og entré- Flislagt entré med downlights i tak- Strøm, varmtvann og fyring inkl. akonto- Garasjeleie med heisadkomst*- God lagringsplass i kjellerbod og ekstra bod på balkong- Tilgang til serviceområde med resepsjon, treningsrom, selskapslokaler, kjøkken, m.m Didrik Klæstad Temte Eiendomsmegler Mobil 900 17 866 Send melding Jan Gunnar Grunden Eiendomsmegler Mobil 988 09 826 Send melding I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209108353,209108353,NA,NA,1132,4901132,5330,Leilighet,Andel,1,67,67,2,2008,E-mørkegrønn,NA,73,NA,1140000,2,6939,1433,NA,NA,NA,NA,NA,NA,NA,FALSE
