location,address,price,title,facilities,description_text,ad_url,id,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,byggear,energimerking,tomteareal,bruttoareal,boligselgerforsikring,fellesformue,formuesverdi,fellesgjeld,etasje,rom,festeavgift,kommunale_avg,num,grunnflate,renovert_ar,tomt,sikringsordning,utleiedel,new_building
Enerhaugen,"Borggata 8, 0650 Oslo",5000000,"Pen, lys og gjennomgående 3-roms med balkong beliggende i 4.etg | Heis | Sentral beliggenhet på Tøyen","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Husdyr, tillatt, Kabel-TV, Sentralt, Vaktmester-/vektertjeneste"," Tor. 18. februar 16:30 - 17:30 + Legg til i kalender Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Smittevern tas på alvor, og det inviteres til visninger etter gitte forhåndsregler. Kontakt megler via linken VISNINGSPÅMELDING for avtale om tid innenfor ovennevnte tidspunkt. Sammen finner vi gode og trygge løsninger. Les salgsoppgaven digitalt. Visningspåmelding Velkommen til Borggata 8!Lys og pen 3-roms med en meget sentral beliggenhet på Tøyen. Luftig og gjennomgående leilighet med god standard som byr på stor balkong og store vindusflater som gir rikelig med naturlig dagslys. Boligen inneholder forøvrig entré, romslig stue, kjøkken og bad fra 2020 og to soverom. Kort vei til T-bane, dagligvarebutikker og andre service tilbud. HøydepunkterBalkong på ca. 7 kvmModernisert kjøkken og bad fra 2020HeisHøyt og fritt i blokkens 4.etgStore vindusflater med mye naturlig lysinnslippSentral og attraktiv beliggenhet på TøyenVelkommen til visning! Tor. 18. februar 16:30 - 17:30 + Legg til i kalender Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Smittevern tas på alvor, og det inviteres til visninger etter gitte forhåndsregler. Kontakt megler via linken VISNINGSPÅMELDING for avtale om tid innenfor ovennevnte tidspunkt. Sammen finner vi gode og trygge løsninger. Les salgsoppgaven digitalt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207870061,207870061,127262,5164262,3237,Leilighet,Eier(Selveier),2,70,70,1990,D-rød,3192,77,NA,15837,1142167,37000,4,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
TVEITA,"Erlends vei 8, 0669 Oslo",3600000,3-roms - Toppleilighet - Fantastisk utsikt - Nytt bad fra 2019 - Kort vei til senter og off. kommunikasjon,"Balkong/Terrasse, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Sentralt, Turterreng, Utsikt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning",360° visning Søn. 21. februar 1300 - 1400 + Legg til i kalender Man. 22. februar 1700 - 1800 + Legg til i kalender Visningspåmelding Velkommen til Erlends vei 8 - Presentert av lokalmegler Israr Ali v/ OBOS Eiendomsmeglere Tveita Toppleilighet.Nordvestvendt inglasset balkong på ca. 8m² med fantastisk fjordutsikt og gode solforhold.Nytt bad og wc fra oktober 2019.Opplegg til vaskemaskin på badet.Det er etablert felles varmtvann fra bergvarme i forbindelse med våtromsrehabiliteringen.Meget god planløsning.Store vindusflater som gir rikelig med lys.Oppgradert el-skap med automatsikringer.Sentralt beliggende med kort vei til Tveita senter og offentlig kommunikasjon.Lave kjøpsomkostninger. INGEN DOKUMENTAVGIFTVeldrevet Obos-tilknyttet borettslag.Rask avklaring av forkjøpsretten.www.lohogda.no VELKOMMEN TIL VISNING! Israr Ali Eiendomsmegler MNEF Telefon 22 98 14 30 Mobil 912 47 798 Hjemmeside Send melding Søn. 21. februar 1300 - 1400 + Legg til i kalender Man. 22. februar 1700 - 1800 + Legg til i kalender Visningspåmelding,https://www.finn.no/realestate/homes/ad.html?finnkode=207985338,207985338,15554,3899554,4272,Leilighet,Andel,2,71,74,1965,G-rød,100020,82,Ja,9671,663063,284000,3,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
MAJORSTUEN,"Vibes gate 26A, 0356 Oslo",5700000,Lys og lekker 2(3)-roms leilighet med solrik balkong på Majorstuen! Gjennomgående - Fyring og V.vann inkl. - Sentralt,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Utsikt"," Tor. 18. februar 17:30 - 18:30 + Legg til i kalender Visningspåmelding Thuva Karlsrud har gleden av å presentere Vibes gate 26A! Lekker og gjennomgående 2(3)-roms leilighet med beliggenhet i byggets 4. etasje med solrik balkong sentralt på Majorstuen. God, gjennomgående standard med baderom og romslig kjøkken fra 2016. Soverom med generøs størrelse og godt med garderobeplass. Svært effektiv planløsning og store vindusflater som gir godt med naturlig lys. Leiligheten har en attraktiv og sentral beliggenhet med kort vei til alt av fasiliteter og dagligvare. Bogstadveien er få minutter gange fra leiligheten. Velkommen til visning!Verdt å merke seg:*Muligheter til å gjøre om til 3-roms *Internbeliggenhet i rolig gate*Bad og kjøkken fra 2016*Separat kjøkken*Balkong*Peis Thuva Karlsrud Eiendomsmeglerfullmektig Mobil 454 86 057 Send melding Tor. 18. februar 17:30 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207936223,207936223,147792,6006480,4762,Leilighet,Eier(Selveier),1,62,62,1935,G-rød,502,69,NA,22779,1361938,158688,4,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
RØA,"Porfyrveien 5A, 0753 Oslo",3650000,Attraktiv og innbydende 2(3)-roms toppleilighet | Balkong | Usjenert og gjennomgående | Sentral og rolig beliggenhet,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Golfbane, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt, Utsikt, Turterreng"," Tor. 18. februar 17:00 - 18:00 + Legg til i kalender Søn. 21. februar 12:30 - 13:30 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Velkommen til visning! (Behov for privatvisning, ta kontakt.) Husk også å lese salgsoppgave før visning. Visningspåmelding Velkommen til Porfyrveien 5A; en gjennomgående 2(3)-roms leilighet med sentral og naturskjønn beliggenhet på Røa. Høydepunkter:- Leiligheten ligger høyt og fritt, helt uten innsyn, og rikelig med naturlig lysinnslipp- Vakker utsikt mot idylliske Mærradalen med sine fine turstier og skog- Lun og stemningsfull stue, plass til ordentlig hyggelig spisestue, samt utgang til balkong- Separat kjøkken med pen innredning og integrerte hvitevarer - Hovedsoverom av god størrelse- Moderne fargevalg og nydelig stemning - 2 romslige kjellerboder- Fyring, varmtvann, internett og tv inkludert i felleskostnader- Tilbaketrukket beliggenhet på Røa med kort vei til off. kommunikasjonMan har god mulighet til å etablere ekstra soverom i leiligheten, se alternativ planskisse for nærmere. Tor. 18. februar 17:00 - 18:00 + Legg til i kalender Søn. 21. februar 12:30 - 13:30 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Velkommen til visning! (Behov for privatvisning, ta kontakt.) Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207858598,207858598,96992,3923530,3945,Leilighet,Eier(Selveier),1,58,58,1957,G-rød,17764,64,NA,6870,474448,176538,3,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Røa/Holmenkollens solside,"Olaf Bulls vei 82, 0765 Oslo",3550000,Attraktiv 2-R| Fantastiske sol- og utsiktsforhold | Garasje | Terrasse | Rolig beliggenhet nær marka | Trappefri adkomst,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Golfbane, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Utsikt, Vaktmester-/vektertjeneste, Bademulighet, Fiskemulighet, Turterreng, Lademulighet"," Søn. 21. februar 14:30 - 15:30 + Legg til i kalender Man. 22. februar 17:00 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Velkommen til visning! (Behov for privatvisning, ta kontakt.) Husk også å lese salgsoppgave før visning. Visningspåmelding Snorre Pedersen v/Nordvik Røa har gleden av å presentere Olaf Bulls vei 82; En lys og romslig 2-roms leilighet på 45 kvm med vestvendt terrasse på ca. 12 kvm. Fra terrassen har man en fri og langstrakt utsikt som strekker seg hele veien fra Bogstadvannet, mot Bærum og Sørkedalen, i tillegg til herlige solforhold. Ettertraktet beliggenhet i naturskjønne omgivelser på Holmenkollens solside. Leiligheten har noen moderniseringsbehov.Kort fortalt:- Solrik terrasse på 12 kvm- Fantastisk utsikt- Store vindusflater som bidrar til rikelig med lysinnslipp, uten innsyn- Trappefri adkomst- Rolig beliggenhet ved marka- Garasjeplass med opplegg for el-lader- Moderniseringsbehov- V.v, internett og tv inkl.- 2 boder- Nært off. kommunikasjon- Kort vei til alt man trenger i hverdagen Søn. 21. februar 14:30 - 15:30 + Legg til i kalender Man. 22. februar 17:00 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Velkommen til visning! (Behov for privatvisning, ta kontakt.) Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207901439,207901439,91212,3687201,2792,Leilighet,Eier(Selveier),1,45,45,1981,E-rød,52641,50,NA,16152,899359,45989,1,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Idyll på Bjølsen,"Mor Go`hjertas vei 23, 0469 Oslo",3790000,"Lekker 2 roms med balkong vendt mot parkanlegg og Akerselva - Heis - Bygg rehabilitert 2006 - ""Alt"" inkl. i felleskost","Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 21. februar 1200 - 1300 + Legg til i kalender Man. 22. februar 1700 - 1800 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding EIE Eiendomsmegling Wekre & Partnere ved Edvard Ingebrigtsen har gleden av å presentere Mor Go`hjertas vei 23.Mor Go´hjertas vei er en blindvei/stikkvei fra Maridalsveien med lite biltrafikk. Her bor du med andre ord sentralt, men samtidig fredelig og tilbaketrukket uten gjenboere. Hele leiligheten vender mot det flotte parkanlegget langs Akerselva.Den gode takhøyden på 2,62 m, kombinert med den effektive planløsningen gjør at leiligheten føles større enn den er. Det er direkte utgang fra stuen til den koselige balkongen. Denne har eier brukt nesten hele året og oppleves som en forlengelse av leiligheten.Bygget ble renovert i 2006 med nytt rørsystem, elektrisk anlegg, nye overflater og ny innredning. Her kan du med andre ord flytte rett inn.Ingen dok.avgift eller forkjøpsrett. Søn. 21. februar 1200 - 1300 + Legg til i kalender Man. 22. februar 1700 - 1800 + Legg til i kalender Vi har Corona-tiltak på alle våre visninger og oppfordrer alle til å melde seg på visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207979743,207979743,8010,3798010,3270,Leilighet,Andel,1,33,33,1948,F-mørkegrønn,2613,37,NA,41840,706501,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Asperud,"Asperudtoppen 12, 1258 Oslo",2390000,Arealeffektiv 2-roms leilighet - Inngang fra bakkeplan - Varmtvann og fyring inkl. - Moderniseringsbehov,"Balkong/Terrasse, Bredbåndstilknytning, Hage, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Rolig, Vaktmester-/vektertjeneste, Turterreng"," Søn. 21. februar 12:00 - 13:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding John-Andrè Rasmussen fra Eiendomsmegler 1 - Oslo Syd har gleden av å presentere Asperudtoppen 12! En fin og arealeffektiv 2-roms leilighet med sydøstvendt markterrasse på ca 10 m² og liten inngjerdet hage, med utsyn over nærområdet! Boligen har en sentral beliggenhet på Asperud, et rolig og trygt boligområde på Holmlia. Leiligheten er perfekt for førstegangskjøpere og eldre som ønsker å bo i et godt og trygt nabolag med meste av urbane fasiliteter tilgjengelig, samt naturskjønne områder rett i nærheten. Etter ca. 10 minutters gange på asfalterte gangveier kommer man til Holmlia Senter med det mest Boligen har moderniseringsbehov!Verdt å merke seg: - Ingen gjenboere - Rolige omgivelser - Inngang fra bakkeplan- Matkroken i umiddelbar nærhet Velkommen til visning! Søn. 21. februar 12:00 - 13:00 + Legg til i kalender Vi må vite på forhånd om du kommer på visning og ber deg ta kontakt for avtale om visning på angitt dag. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207634865,207634865,8614,2524537,2427,Leilighet,Andel,1,42,42,1981,G-mørkegrønn,28945,46,NA,26592,524197,125923,1,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Oppsal / Beverdalen,"Unnarennet 23, 0687 Oslo",8200000,"Pent enderekkehus i skjermet, barnevennlig område på markagrensen. Romslig uteareal, flere uteplasser og nyere garasje.","Balkong/Terrasse, Peis/Ildsted, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet","Video Søn. 21. februar 1400 - 1500 + Legg til i kalender Søn. 21. februar 1500 - 1600 + Legg til i kalender Søn. 21. februar 1600 - 1700 + Legg til i kalender Man. 22. februar 1200 - 1300 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Unnarennet 23 er et familievennlig, pent enderekkehus med utmerket beliggenhet i et vakkert, og særdeles barnevennlig bomiljø rett ved Østmarka. Det er lekeplasser og turmuligheter i nærområdet, samt kort vei til T-bane, badevann og andre fasiliteter. Utendørs har boligen romslig, inngjerdet hage og flere, fine uteplasser. Det er medfølger garasje fra 2013.Inne fremstår huset som velholdt med oppgraderinger fra nyere tid, hvor overflater ble pusset opp i 2012. To bad med badekar ble oppgradert i henholdsvis 2015 og 2012. Kjøkkenet er fra 2007 og i klassisk stil fra Sigdal, med enkelte integrerte hvitevarer. Videre er det en luftig stue med peisovn, kjellerstue med vedovn og tre gode soverom, det ene med klesskap. Det ellers garderobeskap i entré og lagringsplass med flere boder. Søn. 21. februar 1400 - 1500 + Legg til i kalender Søn. 21. februar 1500 - 1600 + Legg til i kalender Søn. 21. februar 1600 - 1700 + Legg til i kalender Man. 22. februar 1200 - 1300 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207970855,207970855,15554,8501554,6599,Rekkehus,Andel,3,121,130,1966,D-oransje,34020,143,Ja,45998,1662013,286000,1,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Familieidyll på Haugerud,"Larsbråtveien 171, 0674 Oslo",5850000,"Bo usjenert og barnevennlig i et enderekkehus med funkispreg. Garasje, solrike uteplasser og 4 soverom.","Balkong/Terrasse, Peis/Ildsted, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Søn. 21. februar 1330 - 1500 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Larsbråtveien 171 er et attraktivt enderekkehus over to plan, i et skjermet og barnevennlig borettslag med funkispreget bebyggelse. Her bor man usjenert og skjermet rett ved Østmarka, med gode solforhold fra to store uteplasser uten innsyn. Det er tilnærmet bilfritt innenfor borettslagets område, her leker barna trygt. Det medfølger parkering i garasje i felles garasjerekke, hvor det er etablert infrastruktur for elbillader.Innvendig har rekkehuset en familievennlig planløsning. Boligen inneholder bl.a kjøkken med spiseplass, og en gjennomgående stue med terrasseutgang og god plass til spisebord. Bad og wc ble pusset opp i 2017. Videre finnes det fire innbydende soverom hvorav to med garderobeløsning, skyvedørsgarderobe i gang/trapperom og god lagringsplass i utebod ved inngangspartiet. Søn. 21. februar 1330 - 1500 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207971755,207971755,15554,6052554,6557,Rekkehus,Andel,4,103,103,1973,F-gul,56408,114,Ja,39540,1263095,187000,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bryn,"Harry Fetts vei 6, 0667 Oslo",6950000,Tiltalende 5-roms endeleilighet modernisert i 2019. Innglasset balkong og 2 delikate bad. Garasjeplass med elbillader.,"Balkong/Terrasse, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Søn. 21. februar 1500 - 1600 + Legg til i kalender Man. 22. februar 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Harry Fetts vei 6 er en moderne og smakfullt innredet 5-roms selveierleilighet. Leiligheten ligger i andre etasje i enden av bygget, med adkomst via utvendig svalgang. Utenfor stuen er det en innglasset balkong med kveldssol, og det følger med en garasjeplass med elbillader. Med Bryn senter rett over veien, samt kort vei til buss, T-bane, barnehage og skoler må beliggenheten sies å være perfekt for en aktiv familie. Leiligheten har en god planløsning og ble vesentlig oppgradert i 2019, noe som utmerker seg på både farge- og materialvalg. Her er det en lekker stue med spiseplass og et moderne kjøkken med integrerte hvitevarer. Videre er det to delikate bad, tre soverom med garderobeskap og et innredet rom. Det ene badet har badekar og ett soverom er tilknyttet bod med vaskemaskinopplegg. Søn. 21. februar 1500 - 1600 + Legg til i kalender Man. 22. februar 1800 - 1900 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207969709,207969709,188640,7271640,3776,Leilighet,Eier(Selveier),4,95,112,1998,D-rød,11677,123,Ja,7939,1356684,133000,2,5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sagene,"Thurmanns gate 9, 0461 Oslo",4400000,"Lys, stor og gjennomgående 2-roms m/peis - Meget stille og rolig beliggenhet - Lave felleskostnader - Ingen dok. avg.","Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Offentlig, vann/kloakk, Peis/Ildsted, Rolig, Sentralt, Turterreng"," Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Man. 22. februar 16:30 - 17:30 + Legg til i kalender Visningspåmelding Lys og gjennomgående 2-roms på populære Sagene med klassiske detaljer som raus takhøyde (2,79 m i stue) og store vinduer (nye i 2013). Planløsningen er gjennomgående og slipper naturlig lys inn i alle rom. Rommene har en god størrelse og er enkle å møblere. Leiligheten har lyse tidsriktige overflater og lekre originale tregulv. Stemningsfull peis i stue. Leiligheten har en stille og tilbaketrukket beliggenhet - uten sjenerende støy - men samtidig meget sentralt på Sagene. Store, grønne friområder, turveier langs Akerselva, butikker, kafeer og et godt kollektivtilbud er rett i nærheten.- Lyse delikate overflater- Lave felleskostnader, ink. fibernett- Ingen forkjøpsrett- Ingen dokumentavgift- Bod i kjeller og på loft Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Man. 22. februar 16:30 - 17:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207833796,207833796,8032,4533883,2505,Leilighet,Andel,1,57,57,1925,NA,492,63,NA,33990,1046318,125851,2,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SOLRIKT OG FRITT BELIGGENDE PÅ BJØLSEN,"Brochmanns gate 3, 0470 Oslo",3850000,"Innbydende, selveid toppleilighet med stor, solrik balkong og flott utsikt. HTH-kjøkken fra 2019. Heis og parkering*","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Fellesvaskeri, Heis, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Bademulighet, Turterreng"," Tor. 18. februar 17:30 - 18:30 + Legg til i kalender Søn. 21. februar 12:00 - 13:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding Velkommen til Brochmanns gate 3 - en lys og innbydende toppleilighet beliggende usjenert til i byggets 4. etasje med solrik balkong på 6 kvm. og fantastisk utsikt. Fremtredende kvaliteter:- Toppleilighet med svært god og arealeffektiv planløsning.- Sydvestvendt balkong på 6 kvm. med fantastiske solforhold.- Selveierleilighet med utstrakt utsikt.- Usjenert og stille beliggende.- Nytt kjøkken (2019) fra HTH med integrerte hvitevarer.- Nye vinduer og ny balkongdør i 2020.- Oppusset bad fra 2015 med nye fliser og varmekabler.- Heis, kjellerbod, fellesvaskeri og sykkelparkering i tilknyttet gården.- Sameiet har garasjeplasser og biloppstillingsplasser som leies ut etter ventelisteprinsippet*.- Nærhet til BI, Akerselva, dagligvarehandel, servicefasiliteter og offentlig kommunikasjon. Tor. 18. februar 17:30 - 18:30 + Legg til i kalender Søn. 21. februar 12:00 - 13:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207859782,207859782,109342,4097342,3113,Leilighet,Eier(Selveier),0,39,39,1967,F-rød,1907,43,NA,21446,814990,138000,4,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Karihaugen,"Harald Sohlbergs vei 6, 1064 Oslo",2900000,"3,5 roms med garasjeplass. Heis. Vestvendt inngl. balkong. Rolig. Kort vei til Marka, T-bane og buss. Oppussingsobjekt.","Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Garasje/P-plass, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning","360° visning Søn. 21. februar 1300 - 1400 Husk visningspåmelding. Ta kontakt med megler dersom tidspunkt ikke passer/er fullt. + Legg til i kalender Man. 22. februar 1700 - 1800 Husk visningspåmelding. Ta kontakt med megler dersom tidspunkt ikke passer/er fullt. + Legg til i kalender I OBOS setter vi sikkerhet og trygghet på visning høyt. For å hindre spredning av coronavirus, vil det bli de oppsatte visninger gjennomføres individuelt, ta kontakt med megler for å avtale tidspunkt for oppmøte slik at du slipper å stå og vente når andre er inne. Dersom oppsatt tidspunkt ikke passer, ta kontakt for å finne et alternativt tidspunkt. Vi henviser til bilde nr. 3 for nærmere informasjon. Velkommen til visning! Visningspåmelding Oppussingsobjekt med garasjeplass, heis og innglasset balkong med gode solforhold!En romslig 3(4) roms i 7. etg. med god planløsning. Leiligheten består av entre, bad, wc, kjøkken, spisestue, 2 gode soverom og stue med utgang til vestvendt innglasset balkong på ca. 9 kvm.Leiligheten ligger i et fint område på Ellingsrudåsen. Det er kort vei til skoler, barnehager, Østmarka, butikker og kollektivtrafikk. Kort vei til Joker med søndagsåpent, buss og T-bane. Metro kjøpesenter ligger ca. 3 km unna.Verdt å vite:Gjennomgående leilighet med stor balkongGarasjeplassSkap i gangen og bod på 7,4 kvm på inngangsplan.FibernettIngen dokumentavgiftRask avklaring av forkjøpsrettSe digital visning! June Berg Peersen Eiendomsmegler Telefon 22 98 14 24 Mobil 913 70 202 Hjemmeside Send melding Søn. 21. februar 1300 - 1400 Husk visningspåmelding. Ta kontakt med megler dersom tidspunkt ikke passer/er fullt. + Legg til i kalender Man. 22. februar 1700 - 1800 Husk visningspåmelding. Ta kontakt med megler dersom tidspunkt ikke passer/er fullt. + Legg til i kalender I OBOS setter vi sikkerhet og trygghet på visning høyt. For å hindre spredning av coronavirus, vil det bli de oppsatte visninger gjennomføres individuelt, ta kontakt med megler for å avtale tidspunkt for oppmøte slik at du slipper å stå og vente når andre er inne. Dersom oppsatt tidspunkt ikke passer, ta kontakt for å finne et alternativt tidspunkt. Vi henviser til bilde nr. 3 for nærmere informasjon. Velkommen til visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207957473,207957473,15554,3141554,3939,Leilighet,Andel,2,73,73,1973,E-rød,79150,80,Ja,12660,869264,226000,7,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
